date,Bitcoin,Ethereum
2024-12-29,70,9
2025-01-05,70,8
2025-01-12,70,9
2025-01-19,87,10
2025-01-26,68,8
2025-02-02,70,11
2025-02-09,51,7
2025-02-16,48,7
2025-02-23,74,9
2025-03-02,79,9
2025-03-09,67,8
2025-03-16,51,6
2025-03-23,45,6
2025-03-30,55,6
2025-04-06,67,9
2025-04-13,40,5
2025-04-20,50,6
2025-04-27,42,5
2025-05-04,48,8
2025-05-11,50,9
2025-05-18,60,8
2025-05-25,50,7
2025-06-01,45,6
2025-06-08,45,7
2025-06-15,41,6
2025-06-22,44,6
2025-06-29,41,7
2025-07-06,54,9
2025-07-13,70,15
2025-07-20,57,16
2025-07-27,58,15
2025-08-03,66,24
2025-08-10,100,51
2025-08-17,89,43
2025-08-24,75,31
2025-08-31,65,20
2025-09-07,61,18
2025-09-14,58,15
2025-09-21,59,17
2025-09-28,63,15
2025-10-05,84,17
2025-10-12,88,17
2025-10-19,68,14
2025-10-26,62,13
2025-11-02,74,14
2025-11-09,72,13
2025-11-16,98,12
2025-11-23,66,8
2025-11-30,72,9
